Market Name,Store Name,Bin Location,Provider,Description,Part Number,Store Part ID,Part ID,UPC,Parts Quantity,Most Recent Cost,Weighted Average Cost,Last Ordered Date,Last Used Date,Days Since Last Interaction,Total Cost
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C3.01.02,DEWALT,"4-1/2 X1/8 X5/8""-11 PIPELINER CUT GRINDING WHEEL",DW8435Z,882444,699200,028877321851,5000,$1.70,$1.70,2024-04-17,,275,"$8,500.00"
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",Wright Tool Cabinet,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,903666,2257898,,5000,$0.51,$0.51,2024-04-29,,263,"$2,550.00"
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",,BIG CITY MANUFACTURING,DANGER DO NOT OPERATE TAG,BCM9458,903665,3679801,,5000,$0.46,$0.46,2024-04-29,,263,"$2,300.00"
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C3.01.02,DEWALT,4-1/2 X 1/4 X 5/8-11 GEN PURP GRINDING WHEEL,DW4523Z,882442,699190,028874045231,5000,$1.79,$1.79,2024-04-17,,275,"$8,950.00"
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C5.02.02,BIG CITY MANUFACTURING,DANGER DO NOT OPERATE TAG,BCM9458,895361,3679801,,5000,$0.46,$0.46,2024-04-22,,270,"$2,300.00"
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C5.02.03,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,895360,2257898,,5000,$0.51,$0.51,2024-04-22,,270,"$2,550.00"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",05-12-05-01C/05-12-05-04C/05-12-06-01C/05-12-06-02C,DEWALT,4-1/2 X 1/4 X 5/8-11 GEN PURP GRINDING WHEEL,DW4523Z,791764,699190,028874045231,4990,$1.79,$1.79,2024-02-02,2024-03-18,305,"$8,932.10"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 3 - ROW A - BIN 2 / AISLE 3 - ROW A - BIN 1 / AISLE 1 - ROW A - BIN 6,DEWALT,4-1/2 X 1/4 X 5/8-11 GEN PURP GRINDING WHEEL,DW4523Z,389815,699190,028874045231,4970,$1.79,$1.79,2024-12-23,2024-11-04,74,"$8,908.23"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-H6-H7,METABO,WHEEL SLICER 6X.045X7/8 T2,655347000,932092,1906618,662911300961,4950,$1.25,$1.25,2024-06-06,2024-07-25,176,"$6,187.50"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",D5/01,BIG CITY MANUFACTURING,YELLOW BARRICADE TAG,BCM9558,691173,2257899,,4800,$0.39,$0.39,2023-10-18,,457,"$1,872.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",02/D/01,MK MORSE,BLADE PORTABAND 44-7/8'' 18TPI BI-METAL,ZWEP4418WB,658906,3745836,050326002172,4713,$2.97,$2.97,2023-09-13,2025-01-09,8,"$13,997.61"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",F4/01 & F4/02 & F4/03 & F4/04,METABO,WHEEL SLICER 6X.045X7/8 T2,655347000,708021,1906618,662911300961,4700,$1.39,$1.39,2023-11-06,2024-12-02,46,"$6,533.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 3 - ROW B - BIN 2 / AISLE 3 - ROW B - BIN 1 / AISLE 1 - ROW A - BIN 6,DEWALT,"4-1/2 X1/8 X5/8""-11 PIPELINER CUT GRINDING WHEEL",DW8435Z,723335,699200,028877321851,4670,$1.94,$1.92,2024-01-02,2024-07-31,170,"$8,988.35"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 3 - ROW A - BIN 3 / AISLE 1 - ROW C - BIN 6,DEWALT,4-1/2 X 5/8-11 80G T29 HP FLAP,DW8313,801712,699179,028877310497,4650,$3.08,$3.08,2024-02-14,,338,"$14,322.00"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",D/06/B/01,3M,"2000 Series Particulate Filter, P100, Particulates, Magenta, 2/PK",2091,859699,2250493,051131070004,4461,$6.30,$6.33,2024-08-30,2024-10-08,101,"$28,235.01"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",F3/03 & F3/04 & S10/03 & S10/04,DEWALT,4-1/2 X 1/4 X 5/8-11 GEN PURP GRINDING WHEEL,DW4523Z,672697,699190,028874045231,4310,$1.79,$1.82,2023-09-27,,478,"$7,844.20"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",F3/01 & F3/02 & S10/03 & S10/04,DEWALT,"4-1/2 X1/8 X5/8""-11 PIPELINER CUT GRINDING WHEEL",DW8435Z,672699,699200,028877321851,4170,$1.94,$1.96,2024-12-31,2024-12-24,24,"$8,173.20"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions","I/5/1 , E/2/1",PYRAMEX,MED COWHIDE LEATHER DRIVERS - PAIR,GL2001KM,893577,3549118,,3600,$1.90,$1.90,2024-07-31,,170,"$6,840.00"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions","I/5/2, E/2/1",PYRAMEX,LARGE COWHIDE LEATHER DRIVERS - PAIR,GL2001KL,893578,3549119,810170036866,3600,$1.90,$1.90,2024-07-31,,170,"$6,840.00"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions","I/5/3, E/2/2",PYRAMEX,X-LARGE COWHIDE LEATHER DRIVERS - PAIR,GL2001KXL,893579,3549120,810170036873,3600,$1.90,$1.90,2024-07-31,,170,"$6,840.00"
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C3.01.02,DEWALT,4-1/2 x .045 x 7/8 HP T1 Cutting Wheel,DW8062Z,891171,699146,40028877200352,3500,$0.91,$0.91,2024-04-17,,275,"$3,185.00"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",05-11-04-02C,DEWALT,4-1/2 x .045 x 7/8 HP T1 Cutting Wheel,DW8062Z,791763,699146,40028877200352,3500,$0.91,$0.91,2024-02-02,,350,"$3,185.00"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",05-11-03-01C,METABO,WHEEL SLICER 6X.045X7/8 T2,655347000,751630,1906618,662911300961,3500,$1.25,$1.25,2024-12-24,2024-08-30,140,"$4,375.00"
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",BR SCT 2 AA03H,LINCOLN ELECTRIC,".045"" SuperArc L-56 MIG Wire (44lb Steel Spool)",ED025946,1065528,5868708,,3432,$3.13,$3.13,2024-09-12,2024-11-01,77,"$10,742.16"
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",B1-01-01 / C1-06-04,LINCOLN ELECTRIC,INNERSHIELD NR - 232 - 0.068 IN (1.7 MM) - (4) 13.5 LB COIL,ED012518,1072306,5869144,,3402,$5.60,$5.60,2025-01-13,2025-01-07,10,"$19,051.20"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",D/06/C/01,3M,RESPIRATOR 3M 2097 PARTICULATE FILTER 2/PK,2097,508242,1906256,051131071841,3400,$8.65,$8.65,2024-08-30,2024-04-29,263,"$29,410.00"
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",ShowRoom Floor BB02A / Mis/B/Sec 3 AA02E,METABO,WHEEL SLICER 6X.045X7/8 T2,655347000,395338,1906618,662911300961,3385,$1.28,$1.29,2024-11-14,2024-11-01,77,"$4,366.99"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",F3/05 & S9/02,DEWALT,4-1/2 x .045 x 7/8 HP T1 Cutting Wheel,DW8062Z,672696,699146,40028877200352,3285,$0.91,$0.92,2023-09-27,2024-09-18,121,"$3,022.20"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",04/E/04,PROFAX,"BLACK HOSE - 1/4"" - 800' REEL",SBH-1/4,479297,2039049,,3200,$0.36,$0.36,2023-01-24,,724,"$1,152.00"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",D/02/B/02 - D/02/B/03,PYRAMEX,"Glasses, Gray Lens with Gray Temples, Intruder",S4120S,493033,2060548,814992008629,3095,$0.55,$0.56,2024-02-28,2024-10-23,86,"$1,722.99"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",B/2/FLOOR. B/2/1,PYRAMEX,"Glasses, Safety, Clear Lens with Clear Temples, INTRUDER,",S4110S,850657,2060546,814992008612,3089,$0.55,$0.55,2024-10-21,2024-04-25,267,"$1,698.95"
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",,IRONWEAR,SHADE 5 GREEN FACE SHIELD Z87.1,3939-G,892753,1550658,20607659393916,3000,$1.35,$1.35,2024-04-18,,274,"$4,050.00"
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C4.04.03,IRONWEAR,SHADE 5 GREEN FACE SHIELD Z87.1,3939-G,872092,1550658,20607659393916,3000,$1.35,$1.35,2024-03-29,,294,"$4,050.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 1 - ROW B - BIN 6,IRONWEAR,CLEAR HARMONY GLASSES,3550-C-C,798937,699339,,3000,$0.66,$0.66,2024-02-12,,340,"$1,980.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",01/C/FLOOR,STIHL,High Performance 2-Cycle Engine Oil,0781-319-8049,791651,3997753,,2910,$5.35,$5.35,2024-12-29,2024-02-05,347,"$15,568.50"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",G/4/2,DEWALT,4-1/2 X 1/4 X 5/8-11 GEN PURP GRINDING WHEEL,DW4523Z,929377,699190,028874045231,2880,$1.79,$1.83,2024-11-19,,59,"$5,270.40"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",D5/02,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,691174,2257898,,2800,$0.39,$0.45,2023-10-18,,457,"$1,260.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",C4/A/03,BIG CITY MANUFACTURING,YELLOW BARRICADE TAG,BCM9558,540408,2257899,,2800,$0.39,$0.39,2023-06-12,,585,"$1,092.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 3 - ROW A - BIN 3,DEWALT,4-1/2 x .045 x 7/8 HP T1 Cutting Wheel,DW8062Z,389829,699146,40028877200352,2800,$0.91,$0.91,2025-01-14,2025-01-14,3,"$2,552.48"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",D/02/A/01 - D/02/A/03,PYRAMEX,Proximity Safety Glasses - Black Foam Lined Frame - Dark Gray H2X Anti-Fog Lens,SB9323ST,624218,3679777,811907026334,2752,$3.00,$3.00,2024-08-31,2024-12-29,19,"$8,256.00"
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",K102,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,999338,2257898,,2738,$0.41,$0.41,2024-11-04,,74,"$1,123.68"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",A/2/2,METABO,"4 1/2"" x .040"" x 7/8"" - A60TZ Original Slicer",655331000,755603,2039881,662911302293,2725,$0.92,$0.92,2024-08-27,,143,"$2,507.00"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",C1/03 & S2/04,IRONWEAR,SHADE 5 GREEN FACE SHIELD Z87.1,3939-G,592930,1550658,20607659393916,2700,$1.35,$1.35,2023-06-20,,577,"$3,645.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 1 - ROW B - BIN 6,IRONWEAR,GREY HARMONY SAFETY GLASSES,3550-G-G,798938,699341,,2700,$0.66,$0.66,2024-02-12,2024-08-26,144,"$1,782.00"
